#U/V  I/nA
-2    1.1
-1.9  1.1
-1.8  1.0
-1.7  0.95
-1.6  0.75
-1.5  0.7
-1.4  0.7
-1.3  0.7
-1.2  0.7
-1.1  0.75
-1.0  0.65
-0.9  0.6
-0.8  0.7
-0.7  0.65
-0.6  0.65
-0.5  0.4
-0.4  0.5
-0.3  0.45
-0.2  0.45
-0.1  0.5
0.0   0.4
0.05  0.42
0.1   0.32
0.2   0.22
0.3   0.13
0.35  0.08
0.38  0.06
0.40  0.04
0.43  0.02
0.46  0.01
0.47  0
