[front_panel]
mode=T1 - R1
output=10 dB
gain=25 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
2,454E+00	9,452E+00	
2,466E+00	1,270E+01	
2,478E+00	9,604E+00	
2,490E+00	1,295E+01	
2,502E+00	4,851E+00	
2,515E+00	3,728E+00	
2,527E+00	4,289E+00	
2,539E+00	4,414E+00	
2,551E+00	4,369E+00	
2,563E+00	7,680E+00	
2,576E+00	7,519E-01	
2,588E+00	2,603E+00	
2,600E+00	2,474E+00	
2,612E+00	4,367E+00	
2,625E+00	4,798E+00	
2,637E+00	1,040E+01	
2,649E+00	7,873E+00	
2,661E+00	8,627E+00	
2,673E+00	6,071E+00	
2,686E+00	3,230E+00	
2,698E+00	6,770E+00	
2,710E+00	7,565E+00	
2,722E+00	5,461E+00	
2,734E+00	1,035E+01	
2,747E+00	5,945E+00	
2,759E+00	5,419E+00	
2,771E+00	3,612E+00	
2,783E+00	2,405E+00	
2,795E+00	2,273E+00	
2,808E+00	5,752E+00	
2,820E+00	4,782E+00	
2,832E+00	2,747E+00	
2,844E+00	4,153E+00	
2,856E+00	3,723E+00	
2,869E+00	4,154E+00	
2,881E+00	6,223E+00	
2,893E+00	6,770E+00	
2,905E+00	8,651E+00	
2,917E+00	6,976E+00	
2,930E+00	4,941E+00	
2,942E+00	4,360E+00	
2,954E+00	2,180E+00	
2,966E+00	2,397E+00	
2,979E+00	3,540E+00	
2,991E+00	7,010E-01	
3,003E+00	2,489E+00	
3,015E+00	1,760E+00	
3,027E+00	1,507E+00	
3,040E+00	8,575E-01	
3,052E+00	2,834E+00	
3,064E+00	4,043E+00	
3,076E+00	2,449E+00	
3,088E+00	5,020E+00	
3,101E+00	1,412E+00	
3,113E+00	3,571E+00	
3,125E+00	2,398E+00	
3,137E+00	1,284E+00	
3,149E+00	1,794E+00	
3,162E+00	3,903E+00	
3,174E+00	3,626E-01	
3,186E+00	3,410E+00	
3,198E+00	8,319E-01	
3,210E+00	2,837E+00	
3,223E+00	1,721E-01	
3,235E+00	4,105E+00	
3,247E+00	1,810E+00	
3,259E+00	3,179E+00	
3,271E+00	2,839E+00	
3,284E+00	4,960E-01	
3,296E+00	1,738E+00	
3,308E+00	3,398E+00	
3,320E+00	9,756E-01	
3,333E+00	4,289E+00	
3,345E+00	2,362E+00	
3,357E+00	1,899E+00	
3,369E+00	2,149E+00	
3,381E+00	1,228E+00	
3,394E+00	6,759E-01	
3,406E+00	2,229E+00	
3,418E+00	2,203E+00	
3,430E+00	1,579E+00	
3,442E+00	1,936E+00	
3,455E+00	1,144E+00	
3,467E+00	2,375E-01	
3,479E+00	2,573E+00	
3,491E+00	1,910E+00	
3,503E+00	2,074E+00	
3,516E+00	3,042E+00	
3,528E+00	7,382E-01	
3,540E+00	2,026E+00	
3,552E+00	1,424E+00	
3,564E+00	6,712E-01	
3,577E+00	2,176E+00	
3,589E+00	2,309E+00	
3,601E+00	9,493E-01	
3,613E+00	2,307E+00	
3,625E+00	9,180E-01	
3,638E+00	6,808E-01	
3,650E+00	1,458E+00	
3,662E+00	2,105E+00	
3,674E+00	1,009E+00	
3,687E+00	3,079E+00	
3,699E+00	3,567E-01	
