[front_panel]
mode=T1 - R1
output=10 dB
gain=15 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=150
sound speed=2750
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
2,454E+00	3,142E+00	
2,466E+00	4,824E+00	
2,478E+00	5,422E+00	
2,490E+00	6,534E+00	
2,502E+00	6,813E+00	
2,515E+00	9,224E+00	
2,527E+00	1,036E+01	
2,539E+00	1,216E+01	
2,551E+00	1,323E+01	
2,563E+00	1,143E+01	
2,576E+00	8,033E+00	
2,588E+00	8,280E+00	
2,600E+00	9,326E+00	
2,612E+00	1,107E+01	
2,625E+00	1,420E+01	
2,637E+00	1,363E+01	
2,649E+00	1,131E+01	
2,661E+00	9,584E+00	
2,673E+00	9,318E+00	
2,686E+00	8,393E+00	
2,698E+00	7,683E+00	
2,710E+00	7,724E+00	
2,722E+00	5,920E+00	
2,734E+00	4,212E+00	
2,747E+00	5,132E+00	
2,759E+00	7,382E+00	
2,771E+00	8,111E+00	
2,783E+00	6,349E+00	
2,795E+00	5,896E+00	
2,808E+00	5,246E+00	
2,820E+00	4,552E+00	
2,832E+00	3,043E+00	
2,844E+00	5,422E+00	
2,856E+00	6,340E+00	
2,869E+00	4,973E+00	
2,881E+00	3,526E+00	
2,893E+00	2,094E+00	
2,905E+00	1,636E+00	
2,917E+00	2,777E+00	
2,930E+00	5,220E+00	
2,942E+00	7,179E+00	
2,954E+00	8,650E+00	
2,966E+00	8,916E+00	
2,979E+00	7,761E+00	
2,991E+00	5,300E+00	
3,003E+00	3,888E+00	
3,015E+00	4,153E+00	
3,027E+00	5,784E+00	
3,040E+00	6,682E+00	
3,052E+00	7,733E+00	
3,064E+00	6,693E+00	
3,076E+00	5,464E+00	
3,088E+00	3,359E+00	
3,101E+00	2,434E+00	
3,113E+00	1,572E+00	
3,125E+00	1,915E+00	
3,137E+00	2,877E+00	
3,149E+00	3,250E+00	
3,162E+00	2,010E+00	
3,174E+00	1,489E+00	
3,186E+00	2,480E+00	
3,198E+00	2,409E+00	
3,210E+00	1,773E+00	
3,223E+00	7,496E-01	
3,235E+00	8,529E-01	
3,247E+00	1,305E+00	
3,259E+00	1,031E+00	
3,271E+00	1,027E+00	
3,284E+00	1,618E+00	
3,296E+00	1,687E+00	
3,308E+00	1,924E+00	
3,320E+00	1,667E+00	
3,333E+00	2,022E+00	
3,345E+00	1,261E+00	
3,357E+00	7,661E-01	
3,369E+00	7,596E-01	
3,381E+00	7,190E-01	
3,394E+00	1,314E+00	
3,406E+00	1,697E+00	
3,418E+00	2,370E+00	
3,430E+00	2,077E+00	
3,442E+00	1,937E+00	
3,455E+00	5,367E-01	
3,467E+00	5,658E-01	
3,479E+00	9,133E-01	
3,491E+00	1,587E+00	
3,503E+00	1,641E+00	
3,516E+00	1,986E+00	
3,528E+00	1,240E+00	
3,540E+00	1,145E+00	
3,552E+00	1,300E+00	
3,564E+00	9,374E-01	
3,577E+00	1,556E+00	
3,589E+00	1,356E+00	
3,601E+00	1,633E+00	
3,613E+00	7,027E-01	
3,625E+00	1,420E+00	
3,638E+00	1,542E+00	
3,650E+00	1,571E+00	
3,662E+00	1,596E+00	
3,674E+00	1,649E+00	
3,687E+00	1,761E+00	
3,699E+00	1,971E+00	
3,711E+00	9,461E-01	
3,723E+00	9,219E-01	
3,735E+00	1,030E+00	
3,748E+00	1,750E+00	
3,760E+00	1,654E+00	
3,772E+00	2,140E+00	
3,784E+00	1,864E+00	
3,796E+00	1,096E+00	
3,809E+00	1,693E+00	
3,821E+00	1,201E+00	
3,833E+00	1,286E+00	
3,845E+00	1,286E+00	
3,857E+00	1,695E+00	
3,870E+00	1,714E+00	
3,882E+00	1,663E+00	
3,894E+00	1,668E+00	
3,906E+00	1,743E+00	
3,918E+00	1,296E+00	
3,931E+00	1,651E+00	
3,943E+00	1,177E+00	
3,955E+00	1,342E+00	
3,967E+00	1,578E+00	
3,979E+00	1,674E+00	
3,992E+00	1,625E+00	
4,004E+00	1,174E+00	
4,016E+00	1,502E+00	
4,028E+00	1,563E+00	
4,041E+00	1,780E+00	
4,053E+00	1,409E+00	
4,065E+00	1,263E+00	
4,077E+00	1,462E+00	
4,089E+00	1,471E+00	
4,102E+00	1,065E+00	
4,114E+00	1,867E+00	
4,126E+00	1,328E+00	
4,138E+00	1,626E+00	
4,150E+00	2,037E+00	
4,163E+00	1,241E+00	
4,175E+00	9,688E-01	
4,187E+00	1,394E+00	
4,199E+00	1,201E+00	
4,211E+00	1,458E+00	
4,224E+00	1,591E+00	
4,236E+00	1,886E+00	
4,248E+00	1,446E+00	
4,260E+00	1,301E+00	
4,272E+00	1,388E+00	
4,285E+00	1,359E+00	
4,297E+00	1,336E+00	
4,309E+00	1,231E+00	
4,321E+00	1,765E+00	
4,333E+00	1,336E+00	
4,346E+00	1,282E+00	
4,358E+00	1,135E+00	
4,370E+00	1,772E+00	
4,382E+00	1,043E+00	
4,395E+00	1,591E+00	
4,407E+00	1,307E+00	
4,419E+00	1,279E+00	
4,431E+00	1,286E+00	
4,443E+00	1,043E+00	
4,456E+00	1,581E+00	
4,468E+00	9,715E-01	
4,480E+00	1,902E+00	
4,492E+00	1,317E+00	
4,504E+00	1,202E+00	
4,517E+00	1,100E+00	
4,529E+00	1,304E+00	
4,541E+00	1,355E+00	
4,553E+00	1,410E+00	
4,565E+00	1,002E+00	
4,578E+00	1,526E+00	
4,590E+00	1,423E+00	
4,602E+00	1,330E+00	
4,614E+00	9,469E-01	
4,626E+00	1,138E+00	
4,639E+00	1,022E+00	
4,651E+00	1,532E+00	
4,663E+00	1,158E+00	
4,675E+00	1,619E+00	
4,688E+00	8,782E-01	
4,700E+00	1,214E+00	
4,712E+00	8,674E-01	
4,724E+00	1,431E+00	
4,736E+00	1,488E+00	
4,749E+00	1,205E+00	
4,761E+00	9,301E-01	
4,773E+00	1,229E+00	
4,785E+00	1,258E+00	
4,797E+00	1,162E+00	
4,810E+00	1,139E+00	
4,822E+00	1,231E+00	
4,834E+00	1,468E+00	
4,846E+00	1,121E+00	
4,858E+00	1,222E+00	
4,871E+00	1,155E+00	
4,883E+00	1,060E+00	
4,895E+00	1,035E+00	
4,907E+00	1,296E+00	
4,919E+00	1,064E+00	
4,932E+00	1,778E+00	
4,944E+00	1,010E+00	
4,956E+00	1,114E+00	
4,968E+00	1,043E+00	
4,980E+00	1,245E+00	
4,993E+00	1,232E+00	
5,005E+00	1,244E+00	
5,017E+00	1,038E+00	
5,029E+00	1,196E+00	
5,042E+00	1,334E+00	
5,054E+00	8,213E-01	
5,066E+00	1,387E+00	
5,078E+00	9,141E-01	
5,090E+00	1,412E+00	
5,103E+00	1,214E+00	
5,115E+00	1,418E+00	
5,127E+00	8,848E-01	
5,139E+00	7,508E-01	
5,151E+00	9,385E-01	
5,164E+00	1,492E+00	
5,176E+00	9,730E-01	
5,188E+00	1,516E+00	
5,200E+00	1,142E+00	
5,212E+00	8,746E-01	
5,225E+00	7,109E-01	
5,237E+00	1,061E+00	
